NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
RBP5	1	1	1	1	1	1	1	1	1	83.293325139227	1	1	1	1	1	1	1	1	72.35487211075	1	1	1	1	1	93.8431298578906	1	1	1
RBP7	1	1	1	1	1	1036.15314784571	1	1	1	1	1	1	1	1	1	1	1	1	378.757063529314	1	1	1	934.231538498315	1	1	30.7603665575401	1	1
RBPJ	101.495635752973	219.71066942481	41.8843293492305	231.646508078147	184.298097729299	63.1700907540568	1	1	69.8374018898657	120.072399259025	87.5171388405071	1	1	60.3545384530494	38.9521306212632	38.2275912333627	128.460194688876	49.927650003222	61.2319318218083	123.876692744003	53.6931892074906	24.4195974809752	56.3024009049196	119.245271803374	92.8648335660381	44.4539996841546	1	78.9536534298151
RBPMS	248.289831538814	1	1	1	1	174.085773516304	1	40.4157044335209	226.70956697077	96.8851330044701	70.1837973248364	1	1	1	1	49.9950016807432	1	53.8773737574864	155.860299196968	1	78.5836146174046	38.9562831603557	147.082815623966	1	186.575146127218	87.2754563594902	1	131.389591973003
RBPMS2	129.988939133639	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RC3H1	1	1	33.9667364541135	1	1	26.0927149233931	1	92.6782784454134	1	1	1	1	88.4520489633876	1	24.8705027198019	92.4698822198824	37.4914209584448	62.9527259639725	42.9343158152564	1	40.7933902603201	45.2778946670022	1	1	1	50.8826015796276	1	1
RC3H2	1	1	1	1	1	51.3134504675116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RCAN1	1	72.430361603751	42.1321765304539	1	1	141.973443441433	1	1	253.851595475687	1	34.9574004444322	1	1	1	1	1	1	1	513.40955124348	1	41.8916639223098	1	332.754137077518	1	1	550.211982036622	1	277.056885630795
RCAN2	246.83398801949	1	1	1	1	81.766363644589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.1294248862872	1	1	1
RCAN3	1	1	30.6003550637097	83.2052934860806	97.6149176257222	1	1	1	1	1	1	1	1	33.516407856271	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RCBTB2	1	1	1	1	1	73.306933813907	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	82.0086268363372
RCC1	1	1	68.4162912569954	1	1	1	1	1	1	1	1	1	1	44.3028905335797	29.0186977337891	1	1	1	1	1	1	1	1	1	1	1	1	1
RCE1	1	1	37.4938317395555	1	1	1	1	1	1	1	1	1	1	29.5271743030725	21.0282363718381	41.6469871929974	1	1	1	1	45.1487317918659	1	1	1	1	1	1	1
RCHY1	1	1	1	1	1	1	1	35.665488897887	1	1	1	1	1	1	29.7263678772923	1	1	1	1	1	38.8691516016093	26.2065454928644	1	1	1	1	1	1
RCL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	63.7283304943043
RCN3	1	1	1	1	1	1	1	1	1	200.06565886729	351.16432526191	1	1	1	1	1	1	1	1	1	1	1	1	1	76.3314860702615	1	1	1
