NAME	T cells CD8+	T cells CD4+	Endothelial ACKR1	B cells Memory	CAFs MSC iCAF-like	B cells Naive	NKT cells	GenMod1	GenMod3	GenMod6	Monocyte	CAFs myCAF-like	PVL Immature	GenMod7	Endothelial RGS5	GenMod2	Plasmablasts	GenMod5	Macrophage	GenMod4	Luminal Progenitors	Mature Luminal	Myoepithelial	PVL Differentiated	NK cells	DCs	Endothelial CXCL12	Endothelial Lymphatic LYVE1
SPINT1	1	1	1	1	1	1	1	120.91896812127	86.4379507059444	204.835787063951	1	1	1	176.474130739591	1	142.518928679177	1	130.196776453077	1	141.933532095391	147.340182257539	89.3322424143932	116.173597860748	1	1	1	1	1
SPINT2	1	1	1	95.7301454893202	1	139.014642855339	1	1125.50844702944	706.493388122972	1397.25901510847	165.050555832628	1	1	919.062189960579	1	1113.10680584419	78.3129618567624	1191.61939949785	158.078452985425	997.831251815197	540.535952598156	1318.2684225027	714.722081053353	1	1	249.48537797434	1	237.457675795775
SPN	87.2466869842145	1	1	1	1	1	240.005063362885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	96.4649941586585	83.8534286369437	1	1
SPNS2	1	1	137.404669856868	1	1	1	1	1	1	1	1	1	1	1	56.6318192896158	1	1	1	1	1	1	1	1	1	1	1	1	1
SPOCK1	1	1	1	1	1	1	1	1	1	1	1	119.575537347018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPOCK2	184.065756225473	336.761203242281	1	1	1	97.0292651258504	122.299894809573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	84.0767599439856	1
SPON1	1	1	1	1	1	1	1	1	1	1	1	110.589652690535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPON2	1	1	1	1	713.969739639236	1	849.44228977627	1	1	1	1	792.220133282575	160.194870019736	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPOP	1	1	70.430117272781	78.0672405134077	67.9675594026749	82.7436121715916	1	41.3343065141547	1	1	1	70.0814824563012	65.3059309735815	46.7324167960614	69.3828839893215	38.4447210725316	1	57.1289427218768	53.6333605034907	27.2955249532494	37.5627155190125	53.9912960507532	54.9652837909149	98.9935732718466	1	64.1785350473243	102.817154221145	1
SPOPL	1	1	1	1	1	1	1	34.9669813784261	1	1	1	1	1	51.9881926269465	1	1	1	70.8347570367443	1	1	1	79.281383774889	1	1	1	1	1	1
SPP1	1	1	1	1	1	1	1	1	1	1	807.112515495993	1	1	1	456.613816789899	1	1	1	1909.58060560844	1	1	1	1	1	1	1	1	1
SPPL3	1	1	1	1	1	1	1	1	1	1	1	41.750416375635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPR	1	1	1	1	1	1	1	67.958157761814	64.6184683405031	73.4012054169492	1	1	1	54.8125549826493	1	46.6791389903974	1	41.5491123491365	1	45.1515388603213	1	55.9852550955281	1	1	1	1	1	1
SPRED1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46.631667621958	1	1	1	100.838054959988	1	1	1	1	1	1	1	1	1
SPRED2	1	1	1	1	1	1	1	39.135387336824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPRY1	1	1	1119.10434009487	1	370.713614979342	1	1	1	1	1	1	178.178972630513	99.359070711914	1	794.589184712379	1	1	1	1	1	1	1	80.3625017965986	1	1	1	400.77399083766	545.442570349967
SPRY4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	98.7319594429616	1	1	1	1	1	1	1	1	1	1	1	71.7477499285318	1
SPRYD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.5932251871989	1	1	1	1	1	1
SPRYD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.9215828129595	1	1	1	1	1	1	1	1	1	1	1	1
SPRYD7	1	1	1	1	1	1	1	1	30.5481199101786	1	1	1	1	1	1	1	1	1	1	1	1	33.3772142351776	1	1	1	1	1	247.856876233992
SPSB1	1	1	1	1	1	1	1	1	1	1	1	53.2570169538764	1	1	1	1	1	1	1	1	27.9834795631473	1	1	1	1	1	1	1
SPTAN1	96.0454942302521	102.740339843527	136.212859408884	1	92.04119117829	1	1	35.3170124058605	55.7547502115808	28.7731693628413	1	128.793254304763	71.8249978672695	58.4392678411962	106.982030748877	31.3412523651919	1	76.6145101006272	1	42.4381095684259	51.8062289513331	71.1436276794194	64.1270887106309	1	63.8320354595275	1	235.890775070361	95.1065920242852
SPTBN1	1	1	345.930614451316	1	196.363296680068	1	1	33.8625459554294	90.4475598783535	50.7973704722454	1	129.607146617646	222.501468652927	64.6129134256195	613.61293996793	25.1783086849291	1	36.2462069450361	1	71.1005779842746	54.3512601776596	65.634430292333	100.382258960837	121.837911793621	1	1	497.370886230578	888.722300531849
SPTLC1	1	1	1	1	1	1	1	1	38.0969027320132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPTSSB	1	1	1	1	1	1	1	101.189324257575	1	122.3660994954	1	1	1	76.0517068665953	1	1	1	58.8695995064629	1	1	1	1	1	1	1	1	1	1
SPTY2D1	1	1	1	1	1	1	1	52.142521786405	1	24.537786663854	1	38.9404015217837	1	59.5045902434663	1	1	1	34.969285958952	1	1	1	33.7465267800641	1	1	1	1	1	1
SQLE	1	1	1	1	1	1	1	107.961511824078	71.5549105770854	137.25300953134	1	1	1	196.800808925342	1	115.570989167665	1	75.0301280621769	1	182.466313089676	1	67.9314851529561	1	1	1	1	64.6202565672665	1
SQRDL	1	1	1	1	1	1	1	30.326072007222	57.9614840269963	50.0869563994998	89.1012756459052	1	1	1	1	40.2627813914148	1	1	56.0889521011606	41.1638639652166	1	34.7604522154303	1	1	1	44.9198953772296	1	1
SRD5A1	1	1	1	1	1	1	1	1	34.7606651538803	1	1	1	1	1	1	37.2515120279609	1	1	1	38.5579596534077	1	1	1	1	1	33.4528914592982	1	1
SRD5A3	1	1	1	1	1	1	1	94.3222556014259	53.0018867103631	111.147945818502	37.2014966012515	1	1	61.5029176573231	57.0999788369233	64.1224231408062	1	55.0778766401575	46.291998175521	60.4553907459269	1	67.5157571528536	1	1	1	1	1	1
SREBF1	1	1	1	1	1	1	1	69.7934631154185	35.7777171248946	62.1005008054457	1	1	1	68.6859068109025	1	34.7043747488893	1	227.847170754441	1	33.8339684731266	1	47.7489480562646	1	1	1	1	1	1
SREBF2	1	1	1	1	1	1	1	1	1	33.7657256277955	1	1	1	58.8033608024704	1	24.1616944552149	1	57.9668759351211	1	40.2297557129022	41.9462898193765	35.9182678595876	1	1	1	1	1	1
SRF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.7801770160938	75.6713698947425	1	1	1	1	1	1
SRGAP1	1	1	1	1	65.7481928760688	1	1	1	1	27.0027099552389	1	34.5193567386553	1	39.5346164967406	1	36.5351997310155	1	1	1	29.8515283416324	1	1	1	1	1	1	1	1
SRGAP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.977783194105	1	1	1	41.8220014031948	1	1	1	1	1	1	42.2439299063182	1	1
SRGAP2C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.9159168461932	1	36.7417490247442
SRGAP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	110.401386824352	1	1	1
SRGN	2947.56162816556	3379.05059835141	475.203240488756	832.387413528811	1	418.321015803121	2582.86266917419	1	377.801175563649	1	4108.77661663784	1	64.0189352477747	1	391.201976832683	1	348.941035219633	1	2278.72315443746	1	1	1	1	1	5355.78871624028	3126.99487038457	1913.64305127603	54.6860946299177
SRM	1	1	1	1	1	1	1	35.7786786414946	64.8632587066051	48.7622123506087	1	66.1389436618981	1	41.7229181450836	34.6336358334153	60.0383709853953	77.3109788043442	1	1	66.0481846322543	31.0793975442383	1	1	1	1	1	1	1
SRP19	1	1	1	1	1	1	113.533960246978	34.1076398558453	32.8104597183627	39.8039785004895	1	1	1	1	1	45.9917908653064	1	48.9957253496884	1	32.8980868687902	1	36.5270275980694	1	1	1	47.7286129585173	1	1
SRP68	1	1	1	1	1	1	1	1	39.013598921073	1	1	1	1	1	1	42.5798759966378	1	31.9992714921868	1	48.9372466921021	56.9455341541887	31.2489592300877	1	1	1	1	1	1
SRPK1	1	1	40.0127991008579	1	1	1	1	39.2647739701566	101.72570428081	54.729234333496	1	1	1	72.2918529044208	1	88.595577344058	1	55.266479379235	1	119.063738108215	57.6842570863997	59.1229520311679	1	1	1	1	1	1
SRPK2	1	1	71.4723313044421	74.5239232674119	55.0773475714918	77.6460567386364	1	80.8274609296877	76.2522666785069	82.2767134988431	1	67.9180300866639	62.9141032502449	83.7575981594392	65.1983245029436	78.5741918391269	1	131.499446964118	1	65.5847403208477	44.78172503816	95.2792852270984	51.0691062613919	1	1	40.1037107977803	75.5892424372801	1
SRPRA	85.3151935451097	1	59.3503029800831	1	63.9989096942797	1	1	54.2961373671125	61.2835510818568	61.7031165762883	1	59.0138441084342	1	86.1487920483519	56.8750028843362	79.0206744749238	113.534751933235	53.3019816370589	37.8726200520094	53.5186899114414	48.5431764389019	97.0306261099067	1	1	91.9358634567821	77.7352333242854	77.9572677418029	29.6097458532523
SRPRB	1	1	1	1	1	1	1	41.6183065204092	67.4187315638138	72.807436385066	1	59.9128136199632	1	50.7559447388698	43.0723349414824	75.5202251318305	81.5865919886801	73.6229773881532	1	62.5941120098633	61.1250515078472	35.9695764356133	1	1	1	1	50.1513553487586	1
SRPX	1	1	1	1	569.40523928649	1	1	1	60.2447370497633	1	1	253.860387675684	142.520040731584	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRPX2	1	1	1	1	1	1	1	1	1	1	1	107.059707466226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRRT	1	1	1	1	1	1	1	39.3763237511228	50.5234324143052	41.1709681178328	1	1	1	58.6190796567743	1	39.8597575585393	1	1	1	76.8479461321781	1	51.1281715460811	1	1	1	1	1	50.0708411213174
SRSF8	1	1	65.6022514326201	87.8118516676765	1	139.770608287897	1	45.1774534477774	51.3714078911373	57.3013745589216	1	1	1	55.6193107923585	69.9478135947729	47.9298277746796	1	1	1	51.285930310684	63.8483962968476	51.7076853585474	85.5208276910785	1	1	1	89.6671042954951	1
