NAME	Endothelial ACKR1	Endothelial RGS5	GenMod5	Endothelial CXCL12	NK cells	T cells CD4+	GenMod1	GenMod3	T cells CD8+	Macrophage	NKT cells	Plasmablasts	PVL Differentiated	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Monocyte	GenMod2	GenMod7	Myoepithelial	GenMod6	PVL Immature	Luminal Progenitors	B cells Memory	GenMod4	Mature Luminal	B cells Naive	Endothelial Lymphatic LYVE1
CASP6	1	1	44.3428990941739	1	1	1	37.2006972846438	1	1	1	1	1	1	1	1	1	1	44.3346430615019	1	1	22.5625259228616	1	31.390388440606	1	1	42.7224507341736	1	1
CASP7	1	29.3462866443098	1	1	1	1	1	33.592745047657	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASP8	1	1	1	1	1	90.2346251158368	1	1	90.5589990331373	1	89.3242635640044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASP8AP2	1	45.4745817742271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.990438381351	1	1	1
CASQ2	1	1	1	1	1	1	1	1	1	1	1	1	216.563910361794	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASZ1	1	1	40.4723440354449	1	1	1	47.5155121094505	1	1	1	1	1	1	1	1	1	1	1	56.4295074701386	1	32.3800867988705	1	1	1	1	70.1160359733852	1	1
CAV1	864.236574614439	1326.24087468237	1	2670.71530463796	1	1	1	634.563781240995	1	1	1	68.8807800984457	1377.00476637564	227.271402736107	1	212.401513133701	1	1	1	286.429604833493	1	1066.78520722265	1	1	154.461798154139	1	1	2056.57146881644
CAV2	175.076976323648	228.130210054473	1	364.440410017796	1	1	1	167.490256943769	1	1	1	1	358.98417311828	1	1	80.2941279426972	1	1	1	124.135564510382	1	235.453631565764	29.7217132625848	1	63.823112968248	1	1	404.965269475821
CBFA2T3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.5227243567338	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFB	1	1	1	1	1	1	1	39.3747437093926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
