NAME	GenMod2	PVL Differentiated	NK cells	T cells CD8+	PVL Immature	GenMod7	GenMod3	Plasmablasts	GenMod5	Macrophage	GenMod1	T cells CD4+	CAFs MSC iCAF-like	Myoepithelial	B cells Memory	CAFs myCAF-like	Endothelial CXCL12	GenMod6	Luminal Progenitors	Endothelial RGS5	Endothelial ACKR1	GenMod4	Endothelial Lymphatic LYVE1	Mature Luminal	DCs	Monocyte	B cells Naive	NKT cells
MRPS28	42.0454813289169	1	1	1	1	1	34.5058915921327	1	50.7227650537666	1	1	1	1	1	1	1	1	44.711625994309	1	1	1	1	75.5453742468314	39.8622417143594	1	1	1	1
MRPS30	178.21946827622	1	1	1	1	63.8995309193164	55.011587880385	1	307.36530018896	1	82.7356327053088	1	1	1	1	1	1	48.2035783807209	37.0292430162933	107.695117095726	1	71.1116457188264	1	55.2111884418042	1	1	1	1
MRPS31	28.2801728652064	1	1	1	1	1	1	54.6493167956664	1	1	1	1	1	1	1	1	1	1	29.2276361270719	1	1	1	1	31.9001355681349	1	1	1	1
MRPS9	32.3207215730299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39.7945826788336	1	1	1	1	1	1
MRRF	28.6327644905794	1	1	1	1	1	33.7791449193899	1	1	1	1	1	1	1	1	1	1	1	28.1550237912364	1	54.4906731228103	1	76.4283833174577	1	1	1	1	1
MRTO4	49.290921703625	1	1	1	1	1	51.5486030767559	1	1	1	1	1	1	1	1	1	1	28.9176846028207	48.7971194536579	1	1	70.1027694259192	47.6581741652618	33.5951481804435	1	1	1	1
MRVI1	1	170.906845395751	1	1	86.8153930904591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MS4A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1385.72043278345	1	1	1	1	1	1	1	1	1	1	1	1392.67211381509	1
MS4A4A	1	1	1	1	1	1	1	1	1	357.58887308788	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	97.5043201480988	1	1
MS4A6A	1	1	1	1	1	1	1	1	1	1285.67637039396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	527.831969086433	920.539033197581	1	1
MS4A7	1	1	1	1	1	1	1	1	508.066844896441	960.103039367648	70.1200977684119	1	1	1	1	1	1	53.169665306516	1	1	1	1	1	1	88.7252790576044	549.992537379946	1	1
MSC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55.9011460588319	1	1	1	1	1	1	1	1	1	1	1	1
MSH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.2078446446806	64.7000392707431	1	1	1	1	1
MSH6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46.910028380601	1	1	1	1	1	1
MSI2	38.8059135935435	1	1	1	1	77.7208237559924	24.3046830332452	1	187.694873854069	1	61.3580557328707	1	1	1	1	1	1	42.4161666225383	1	1	1	35.776232642257	1	66.6875384054634	1	1	1	1
MSL1	1	1	1	1	1	1	1	1	1	1	46.3453675995565	1	1	1	1	1	1	48.2479647434351	29.3959812357922	1	1	1	1	48.492376595321	1	1	1	1
MSL3	25.9439164807193	1	1	1	1	1	1	63.1812242382408	1	49.0961480923816	1	1	1	1	1	1	71.8705060418778	1	29.213476131196	63.5256432303837	50.8546192525603	35.7611321048993	50.6283637282316	1	46.1446046049222	46.6922301794227	1	1
MSLN	1	1	1	1	1	1	109.354922114058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MSMO1	78.3795650092158	1	1	1	1	89.8348889210498	1	1	70.3595781755793	1	56.7399752624021	1	1	1	1	1	1	87.77659027868	1	1	1	58.3811972513919	1	45.6584534233868	1	1	1	1
MSN	1	165.838013748032	329.531873628804	264.855821857308	112.904912973971	1	81.2866601062248	1	1	227.915948220872	1	194.935117906473	49.53377023079	104.180005666758	159.323662566991	119.264202402646	330.972442827698	1	39.2976568049591	356.097969847432	328.443905211375	45.6247089612611	183.965509164587	1	122.887864522262	226.948221070717	111.098490587583	406.82998438276
MSR1	1	1	1	1	1	1	1	1	1	328.290882411547	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	96.0302551325361	1	1
MSRB1	52.805848616727	1	1	1	1	1	40.4616104089128	1	44.1227752031684	1	36.0708724335979	1	1	1	1	1	1	55.302498966243	1	1	1	57.2274427265203	1	1	1	47.7570177126257	1	1
MSRB2	52.2509514427044	71.2267523709525	1	1	1	55.8479932009467	26.1049533650729	1	1	52.150542697873	48.9363983970028	1	1	1	1	63.6326781662233	1	64.1466529086401	1	1	1	53.2425999952337	1	1	1	1	1	1
MSRB3	1	259.706732826232	1	1	162.872835217874	1	1	1	1	1	1	1	1	196.278187886835	1	150.742506433125	69.3708397017775	1	1	34.7011557803192	67.95714035736	1	30.1090737446988	1	1	1	1	1
MSX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	117.461217341046	1	1	50.4628807600717	1	1	1	1	1	1	1	1
MT1A	1	445.318284548445	1	1	395.805955828708	1	1	1	1	1	1	1	99.4588980390414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT1E	94.4783749278153	1061.92365311314	1	1	614.642225860701	1	135.867451983333	1	1	98.1428212397662	1	1	375.72350101467	1993.333503878	1	230.001216940463	102.755560311703	1	186.960352929043	266.073665391899	112.247112061371	121.692813866699	173.283955399822	522.988670275509	1	1	1	1
MT1F	45.6495175709339	1	1	1	95.2257286864201	1	1	1	47.4756183932032	60.1581973723136	46.7296634697222	1	1	104.99861511471	1	1	1	28.1870399845375	46.6440034013059	1	1	53.5939398031415	1	62.1569636832048	1	1	1	1
MT1G	1	1	1	1	1	1	1	1	1	1	1	1	1	131.500080171319	1	1	1	1	54.3420321028279	1	1	1	1	89.9509824773212	1	1	1	1
MT1M	1	1090.51329931923	1	1	704.294325502608	1	1	1	1	1	1	1	327.527975971653	342.490995189249	1	1	88.5222417431861	1	1	180.248899724253	1	1	225.4989672141	1	1	1	1	1
MT1X	208.516044739396	633.758307112079	93.154683144349	405.951049602381	270.793819056218	174.870471637623	408.245044350729	1	77.9379454635437	199.545605528478	111.886812055829	210.867002424941	430.086218716639	2956.40224498425	1	117.989000919768	97.183433138461	263.057682782304	697.994461115953	186.262036529383	225.405471584614	549.607621076522	666.619245212212	272.108086886371	1	167.248304916993	1	153.623174480373
MT2A	390.397996713315	3846.00411415051	467.213752368184	1115.99529174406	4938.9200168216	345.914388816257	1139.62278975224	1	941.340363117147	1074.97805159926	562.907489114669	510.762191758736	2775.50447549879	9540.41215972825	192.864928802857	1154.87149853948	920.70541489205	356.420190120113	697.26705167809	1291.05634268738	1120.33679036187	1123.1938541676	2011.57726529958	1935.69434466059	562.402825040926	1341.52807232997	1	320.862674124023
MTA1	96.0657600633223	1	1	1	1	193.219821190655	56.2947856740883	1	203.618875078281	1	179.202885212884	1	1	1	1	1	43.4079627020888	131.327226083148	28.2480815182727	63.045242876873	1	114.801324326582	1	47.0008651480981	1	1	1	1
MTA3	34.3837829689931	1	1	1	1	1	20.0740943768015	1	52.0743781543746	1	1	1	1	1	1	1	1	48.6965563812558	1	1	1	33.8716787415603	1	41.4432039888962	1	1	1	1
MTERF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.8171282661335	1	1	1	1	53.796315349082	1	1	1	1
MTERF3	25.2662305801805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTERF4	21.6879208979836	1	1	1	1	1	26.9757242935153	1	1	1	1	1	1	1	1	1	1	1	45.7737058545221	1	1	1	1	30.8286024751875	1	1	1	1
MTF2	23.3189082273228	1	79.9591440319131	1	1	38.4437647494101	1	1	1	1	1	1	1	1	1	1	1	24.9782027394099	1	1	49.3397868720012	43.7313236105166	1	51.70356502793	1	1	1	1
MTFP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55.3610402470047	1	1	1	1	1
MTFR1	38.4366657982657	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.2728735205417	1	1	1	1	1	1
MTFR1L	27.7374176555816	1	1	1	1	1	28.7745967084884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTG1	27.033858935228	1	1	1	1	49.3000110916492	34.0014906435983	1	1	1	32.75327283803	1	1	1	1	1	1	1	1	1	1	28.172368114959	1	38.3573523329727	1	1	1	1
MTG2	23.4197629527521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.6007826227898	1	1	1	1	1	1	1	1	1	1
MTHFD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.7202264052616	1	1	1	1	1	1
MTHFD2	142.644763316034	290.690989364481	123.330929289172	136.109280730072	193.608977908435	113.966642264376	129.777774132647	1	125.032822745487	117.510139412543	117.550489187408	151.603573302053	1	61.7722650323143	1	1	1	115.564184630837	1	23.1612671941177	1	249.250798642703	1	131.458550577956	128.482980868558	149.363802847899	1	172.917972892199
MTHFD2L	42.9532495628992	1	1	1	1	47.2231217225983	1	1	62.6066396289487	1	38.5380267297004	1	1	1	1	1	1	36.7148322248381	62.7101906750576	1	1	36.2813586097188	1	96.6259292344068	1	1	1	1
MTHFR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.5066936512701	1	1	1	1
MTHFS	25.6583674978681	1	1	1	1	1	1	1	37.665744317468	1	43.3903536431268	1	1	1	1	1	1	40.748741694502	1	1	1	37.6526335356946	1	1	36.6618892792327	1	1	1
MTIF2	29.1622454927171	1	1	1	1	1	59.3001657382329	1	1	1	1	1	1	1	1	1	1	24.6291508501562	1	1	1	52.9225558299414	84.1005196000139	1	1	1	1	1
MTL5	37.7951826986829	1	1	1	1	1	1	1	63.7371636317223	1	1	1	1	1	1	1	1	1	1	1	1	32.4145485194625	1	34.5252933827008	1	1	1	1
MTMR14	32.5263001007108	1	1	1	1	1	1	1	37.7059304363672	64.0372183844589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	80.7429410890167	51.1269192179596	85.0290043177701	1
