NAME	CAFs MSC iCAF-like	Endothelial ACKR1	B cells Memory	T cells CD4+	Monocyte	GenMod5	T cells CD8+	Endothelial CXCL12	Plasmablasts	NK cells	GenMod4	DCs	CAFs myCAF-like	GenMod2	PVL Differentiated	Macrophage	GenMod1	Mature Luminal	Endothelial RGS5	Endothelial Lymphatic LYVE1	GenMod3	GenMod7	Luminal Progenitors	B cells Naive	PVL Immature	Myoepithelial	GenMod6	NKT cells
LTV1	1	1	1	1	1	1	1	1	1	1	38.0593128318523	1	1	25.1672762286172	1	1	1	1	1	1	37.8609373984848	1	1	1	1	1	1	1
LUCAT1	1	1	1	1	60.0198838797884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LUM	4242.23035222833	1	1	1	1	1	1	1	1	1	1	1	7497.45650581166	1	1	1	1	1	1	1	1	1	1	1	335.418079237022	1	1	1
LURAP1L	1	1	1	1	1	54.6697043311679	1	1	1	1	1	1	1	47.3201683406127	91.0483572419826	1	57.2783927707947	135.303496954792	1	1	1	44.6872257866998	60.716423881318	1	95.5232316117206	1	34.6444834556366	1
LUZP1	69.1875114974404	123.615280339609	1	1	1	1	1	182.364887259077	1	1	35.9384874833745	1	78.318879907416	1	1	1	1	1	179.703748412872	65.6940881878378	39.9591531303037	1	30.0466212408088	1	1	79.5668938608254	1	1
LXN	79.7529890129366	46.7869879958872	1	1	1	1	1	1	1	1	1	1	152.686810717885	1	1	1	1	37.7376846503072	231.382273433469	1	1	1	78.5040876169808	1	1	1	44.224251537256	1
LY6D	1	1	1	1	1	1	1	1	1	1	155.098862833889	1	1	1	1	1	1	1	1	1	147.084111540589	1	1	1	1	1	1	1
LY6H	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	215.7182224347	1	1	1	1	1	1	1	1	1
LY6K	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	47.8247605862458	1	1	1	41.7090744110138	33.0419540940121	1	1	1	75.5133192364652	61.2658370770208	1
LY86	1	1	200.282284163166	1	132.609400105741	1	1	1	1	1	1	89.8961253326905	1	1	1	162.309010163056	1	1	1	1	1	1	1	182.872208771087	1	1	1	1
LY9	1	1	239.238150652695	1	1	1	1	1	1	1	1	50.8352328594865	1	1	1	1	1	1	1	1	1	1	1	532.624136961698	1	1	1	1
LY96	74.8995018356292	111.192309897287	1	1	185.2641036162	1	1	1	66.6663840284862	1	1	69.4091797981131	92.3340896902484	1	1	309.086720920725	1	1	64.6053644916631	55.1885769048947	1	1	1	1	47.9786430001426	1	1	1
LYAR	1	43.2921006013443	1	97.4484969724193	1	1	194.441719244735	1	1	1	51.0625654873308	1	1	1	1	1	1	1	27.8318064563299	1	57.0053298628017	1	35.8065485497051	1	1	1	1	222.777415044684
LYL1	1	1	1	1	1	1	1	66.1890943098744	1	1	1	1	1	1	1	1	1	1	38.7406007538019	1	1	1	1	1	1	1	1	1
LYN	1	1	178.919869583497	1	168.23413650262	1	1	1	1	1	1	135.707190941257	1	1	1	155.086703637799	1	1	36.4764631736089	54.7210979558664	1	1	1	1	1	1	1	1
LYPD3	1	1	1	1	1	59.4772027622116	1	1	1	1	38.2726477262895	1	1	63.2993964118873	1	1	97.7021776943006	133.098401582895	1	1	35.7843108309111	90.7469293786345	81.3547206042982	1	1	1	94.4369027930577	1
LYPD6B	1	1	1	1	1	36.9063572862329	1	1	1	1	1	1	1	1	1	1	1	40.9339137268654	1	1	1	1	1	1	1	1	1	1
