Radius,ERn86Epi,ERn58Epi,ERp73Epi,ERp3019Epi
172,81.1528662420382,75.7345132743363,100.661016949153,134.052173913043
173,82.1273885350318,76.5663716814159,101.715254237288,135.726708074534
174,83.2165605095541,77.5132743362832,102.803389830508,137.349068322981
175,84.1847133757962,78.3362831858407,104.084745762712,139.041614906832
176,85.1847133757962,79.2035398230089,105.274576271186,140.69751552795
177,86.2611464968153,79.9823008849557,106.501694915254,142.367080745342
178,87.3057324840764,80.858407079646,107.779661016949,144.060869565217
179,88.2420382165605,81.6814159292035,109.040677966102,145.804968944099
180,89.1974522292994,82.4424778761062,110.281355932203,147.48198757764
181,90.140127388535,83.2389380530973,111.528813559322,149.223602484472
182,91.1019108280255,84.1504424778761,112.810169491525,150.96149068323
183,92.1656050955414,84.9911504424779,114.094915254237,152.693167701863
184,93.1910828025478,85.8761061946903,115.4,154.383229813665
185,94.1210191082803,86.6637168141593,116.528813559322,156.176397515528
186,95.2738853503185,87.5929203539823,117.783050847458,157.891304347826
187,96.3949044585987,88.5221238938053,119.010169491525,159.695652173913
188,97.4394904458599,89.3451327433628,120.349152542373,161.462732919255
189,98.4585987261146,90.3628318584071,121.640677966102,163.289440993789
190,99.5222929936306,91.2300884955752,123.037288135593,165.147204968944
191,100.528662420382,92.0530973451327,124.31186440678,166.875776397516
192,101.515923566879,92.9469026548673,125.616949152542,168.694409937888
193,102.554140127389,93.9115044247788,126.996610169492,170.540372670807
194,103.662420382166,94.7079646017699,128.213559322034,172.399378881988
195,104.636942675159,95.4424778761062,129.416949152542,174.252795031056
196,105.649681528662,96.4247787610619,130.722033898305,176.1
197,106.668789808917,97.3362831858407,132.003389830508,177.952173913043
198,107.783439490446,98.212389380531,133.386440677966,179.895031055901
199,109.006369426752,99.1592920353982,134.718644067797,181.770807453416
200,110.267515923567,100.212389380531,135.95593220339,183.664596273292
201,111.573248407643,101.185840707965,137.332203389831,185.56397515528
202,112.68152866242,102.132743362832,138.691525423729,187.503726708075
203,113.687898089172,103.079646017699,139.962711864407,189.444099378882
204,114.611464968153,104.026548672566,141.376271186441,191.418633540373
205,115.726114649682,104.955752212389,142.759322033898,193.391304347826
206,116.968152866242,106.017699115044,144.050847457627,195.395031055901
207,118.044585987261,107.017699115044,145.461016949153,197.411180124224
208,119.095541401274,107.955752212389,146.823728813559,199.399378881988
209,120.292993630573,108.920353982301,148.11186440678,201.384472049689
210,121.331210191083,109.893805309735,149.518644067797,203.388819875776
211,122.59872611465,110.920353982301,150.908474576271,205.404968944099
212,123.929936305732,111.893805309735,152.294915254237,207.432298136646
213,125.063694267516,112.787610619469,153.830508474576,209.51801242236
214,126.019108280255,113.858407079646,155.271186440678,211.595031055901
215,127.324840764331,114.884955752212,156.6,213.683229813665
216,128.490445859873,115.893805309735,158.003389830508,215.742236024845
217,129.656050955414,117.044247787611,159.515254237288,217.862111801242
218,131.114649681529,118.053097345133,160.894915254237,219.955900621118
219,132.267515923567,119.141592920354,162.274576271186,222.080745341615
220,133.433121019108,120.061946902655,163.735593220339,224.242236024845
221,134.636942675159,121.079646017699,165.108474576271,226.306211180124
222,135.910828025478,122.053097345133,166.545762711864,228.478260869565
223,137.171974522293,123.044247787611,168.006779661017,230.737267080745
224,138.541401273885,124.16814159292,169.484745762712,232.913043478261
225,139.866242038217,125.300884955752,170.989830508475,235.149689440994
226,141.025477707006,126.141592920354,172.379661016949,237.377639751553
227,142.191082802548,127.283185840708,173.813559322034,239.577639751553
228,143.458598726115,128.318584070796,175.322033898305,241.813043478261
229,144.713375796178,129.46017699115,176.816949152542,244.02298136646
230,145.853503184713,130.672566371681,178.267796610169,246.239130434783
231,147.063694267516,131.840707964602,179.650847457627,248.493167701863
232,148.286624203822,132.991150442478,181.24406779661,250.740372670807
233,149.458598726115,134.008849557522,182.867796610169,253.034161490683
234,150.821656050955,135.106194690265,184.423728813559,255.408695652174
235,152.261146496815,136.247787610619,186.023728813559,257.686956521739
236,153.554140127389,137.389380530973,187.535593220339,260.011180124224
237,154.675159235669,138.424778761062,188.952542372881,262.306211180124
238,155.891719745223,139.610619469027,190.477966101695,264.64099378882
239,157.127388535032,140.796460176991,192.203389830508,267.000621118012
240,158.375796178344,141.991150442478,193.769491525424,269.393167701863
241,159.694267515924,143.185840707965,195.264406779661,271.758385093168
242,160.987261146497,144.238938053097,196.837288135593,274.178260869565
243,162.165605095541,145.451327433628,198.525423728814,276.562732919255
244,163.503184713376,146.504424778761,200.277966101695,278.95900621118
245,164.853503184713,147.769911504425,201.810169491525,281.38198757764
246,165.968152866242,149.088495575221,203.393220338983,283.803726708075
247,167.248407643312,150.29203539823,204.952542372881,286.208695652174
248,168.426751592357,151.433628318584,206.738983050847,288.665217391304
249,169.566878980892,152.849557522124,208.352542372881,291.098757763975
250,170.815286624204,153.946902654867,209.877966101695,293.572049689441
251,172.063694267516,155.150442477876,211.447457627119,296.034782608696
252,173.222929936306,156.336283185841,213.149152542373,298.574534161491
253,174.414012738854,157.238938053097,214.840677966102,301.145962732919
254,175.675159235669,158.256637168142,216.393220338983,303.655900621118
255,177.012738853503,159.433628318584,218.145762711864,306.233540372671
256,178.363057324841,160.672566371681,219.813559322034,308.784472049689
257,179.611464968153,161.805309734513,221.657627118644,311.35652173913
258,180.917197452229,162.964601769911,223.372881355932,313.904968944099
259,182.343949044586,164.345132743363,225.010169491525,316.448447204969
260,183.649681528662,165.619469026549,226.877966101695,319.011801242236
261,185.044585987261,166.725663716814,228.694915254237,321.644720496894
262,186.31847133758,167.902654867257,230.383050847458,324.237888198758
263,187.605095541401,169.194690265487,232.020338983051,326.894409937888
264,188.898089171975,170.442477876106,233.898305084746,329.544099378882
265,190.299363057325,171.654867256637,235.633898305085,332.167080745342
266,191.764331210191,172.867256637168,237.362711864407,334.862732919255
267,192.980891719745,174.106194690265,239.101694915254,337.5
268,194.267515923567,175.185840707965,240.894915254237,340.154658385093
269,195.611464968153,176.442477876106,242.725423728814,342.927950310559
270,197.089171974522,177.601769911504,244.522033898305,345.647204968944
271,198.305732484076,178.796460176991,246.410169491525,348.313043478261
272,199.757961783439,180.159292035398,248.203389830508,350.988198757764
273,201.216560509554,181.619469026549,250.047457627119,353.706211180124
274,202.522292993631,183,251.884745762712,356.48198757764
275,204.012738853503,184.486725663717,253.803389830508,359.239751552795
276,205.235668789809,185.681415929204,255.650847457627,362.027329192547
277,206.547770700637,187.106194690265,257.491525423729,364.746583850932
278,208,188.327433628319,259.308474576271,367.504968944099
279,209.312101910828,189.575221238938,261.183050847458,370.321739130435
280,210.59872611465,190.849557522124,263.04406779661,373.137267080745
281,212.108280254777,192.026548672566,264.986440677966,375.97701863354
