NAME	PVL Differentiated	T cells CD8+	GenMod4	Luminal Progenitors	GenMod3	GenMod1	Plasmablasts	B cells Memory	B cells Naive	NKT cells	T cells CD4+	GenMod7	GenMod5	PVL Immature	CAFs myCAF-like	CAFs MSC iCAF-like	NK cells	Macrophage	Monocyte	Endothelial ACKR1	Endothelial RGS5	GenMod6	DCs	GenMod2	Mature Luminal	Endothelial CXCL12	Myoepithelial	Endothelial Lymphatic LYVE1
MESP1	1	1	143.440882774821	82.5029693486207	39.0250167145041	71.0657037999422	1	1	1	1	1	128.495546935015	53.9971165602183	1	1	1	1	1	1	1	1	131.40050593917	1	92.1294479436771	1	1	1	1
MEST	1	1	73.5743168803728	62.8065644043544	1	28.2591877704916	1	1	1	1	1	42.8277721190875	1	1	1	1	1	1	1	1	1	1	1	62.0047197614129	1	1	37.4869502288444	1
MET	1	1	1	1	45.6105064723971	1	1	1	1	1	1	1	1	1	1	1	1	1	1	103.479082194136	1	1	1	1	1	143.435735625081	73.3437568086408	1
METAP1	1	1	1	39.2926694001642	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.5379664265686	1
METRN	1	1	1	1	1	48.0882342326294	1	1	1	1	1	1	50.7484418431342	1	1	1	1	1	1	1	1	49.7881155438125	1	1	1	1	1	1
METRNL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	170.541643858365	122.452621493936	115.732111605819	1	1	1	57.6976791392915	1	1	1	1	42.390794863269
METTL23	1	1	82.1549175110348	25.2234804211102	65.4445493847558	45.5716057702574	1	1	125.406742537755	1	1	51.355585206629	85.6776089537106	64.2829323367316	1	1	1	36.8004679478229	1	1	44.7745275115891	49.5262340857648	1	74.2040288820085	53.3422101925063	57.9172936118518	54.4255793038223	1
METTL2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.0645333238012	1	1	1	1
METTL2B	1	1	1	1	30.5303851698869	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
METTL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.1122406615109	1	1	1
METTL7A	1	1	1	35.3494306065648	1	1	1	1	1	1	1	1	1	1	1	118.616480330084	1	52.480330609675	49.4021024151411	1	1	1	25.5950630384467	1	50.2328056669082	1	70.9514989519127	1
MEX3C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39.4223876103609	1	1	1	1	1	1	1	1
MFAP1	1	1	48.2801907414313	34.4722341884899	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.9822452350822	1	34.0691058552994	40.8590033244194	1	1	1
MFAP2	1	1	1	1	52.9865616345812	1	1	1	1	1	1	1	1	1	791.699150342594	216.497074712299	1	1	1	1	1	1	1	1	1	1	1	94.9068613001201
MFAP4	112.129403886844	1	1	1	1	1	1	1	1	1	1	1	1	1	545.636401525631	1153.42317726606	1	1	1	1	1	1	1	1	1	1	1	262.474304757204
MFAP5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	434.761029570265	188.489780299639	1	1	1	1	1	1	1	1	1	1	1	1
MFGE8	1242.92987600889	1	88.3879607335123	327.909302126146	205.80316452915	1	1	1	1	1	1	108.609449942756	1	815.065992494281	381.865881534888	332.293086308864	1	1	1	51.7987889313605	168.184126118788	1	1	1	1	42.9497793845866	487.854245718322	1
MFNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.3365472292652	39.973613549232	83.9180160462052	82.8176691124314	1	1	1	1	114.188277246004	1	88.0767259641815
MFSD1	1	1	1	61.6311430654571	57.4396169081011	43.4047119422966	1	1	1	1	1	35.4496536102161	65.1218649459207	1	76.0090952598178	1	1	325.437950982727	211.916745310301	80.8946012277134	39.352147490812	48.8723810134177	78.7754621888632	37.7157748121743	79.3279922057159	64.9014442037498	1	1
MFSD11	1	1	1	1	29.3853139999567	1	1	1	1	1	1	37.6601482698723	1	1	1	1	1	1	1	40.8024795976068	43.6532297187974	32.0520546682722	1	1	1	1	1	1
MFSD12	1	1	1	1	25.8275814279072	1	1	1	1	1	1	1	1	1	1	1	1	53.7716352621743	1	1	1	1	1	1	1	1	1	1
MFSD3	1	1	1	1	1	37.4204694008956	1	1	1	1	1	1	65.3316407737451	1	1	1	1	1	1	1	1	29.3224893090506	1	30.0161485372562	1	1	1	1
MGAT1	50.6104595471685	1	48.8466132002757	43.4838422206002	71.6729107273165	46.0586356266295	74.2158398552664	1	1	177.438433109937	1	50.3052326532352	1	71.8461020867667	93.6184368567254	92.4680100891071	1	313.892617686912	289.445883272067	104.548397439832	166.377289272253	43.8787241332007	156.278557679505	34.2441663825582	44.3705434657271	180.998717281939	52.5039670698254	111.595148150335
MGAT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.347861932465	1	1	1	1	1
MGAT4A	1	113.379656431061	36.6702672705402	1	1	55.7259549309018	1	1	1	1	103.666163662393	44.3938359475182	53.9829490886719	1	1	1	1	154.522875718743	81.8345557461343	89.6128988087902	96.2917726611273	47.3288759677493	44.1678099730638	27.6464946428754	48.7188476503423	62.1271109796603	1	1
MGLL	239.905498163574	1	1	34.3717606911007	73.846102725307	55.7016904617613	1	1	1	1	1	43.4249153667379	1	238.355299562102	1	1	1	66.6748979441797	1	344.83291506064	520.291939421192	57.7345055675194	74.5417125570172	32.0468997344311	42.5374659050784	334.906549099145	1	101.897607791357
MGP	1619.59542508935	105.246185897407	4612.19669367308	13930.4560732816	7594.6727140193	2532.72802998207	121.834322950682	195.908349360307	315.079371936115	705.799238940925	1	2940.97997243399	11695.0330689266	3205.65566170517	5342.23391558921	7021.31997423217	1	79.3053317102802	133.741118538148	1224.68789948157	884.593447554946	4540.60693824253	108.815668006818	3749.04052721959	18980.5886551817	2184.5612753937	562.722629824742	1213.34160913573
MGRN1	1	1	1	25.6322716844378	1	36.1021295010931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.2332312743461	1	1	39.0021934445716	1	1	1
