NAME	Myoepithelial	GenMod1	PVL Differentiated	B cells Naive	T cells CD4+	T cells CD8+	Macrophage	Endothelial CXCL12	Endothelial ACKR1	GenMod4	NKT cells	GenMod2	Plasmablasts	GenMod5	GenMod3	Monocyte	B cells Memory	GenMod6	GenMod7	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Mature Luminal	NK cells	Luminal Progenitors	Endothelial RGS5	PVL Immature	Endothelial Lymphatic LYVE1
ADAM17	1	1	1	1	1	1	64.7262411196871	84.6472427293437	1	1	1	1	1	1	1	66.9634738809332	1	1	1	64.7924183984249	1	50.00227504627	31.157818229286	1	36.4215061061622	52.6730199266116	1	1
ADAM19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	66.8823089810395	1	1	1	1	1	1	1
ADAM28	1	1	1	445.910624059544	1	1	55.7616073369115	1	1	1	1	1	1	1	1	1	320.218467977005	1	1	1	46.1754964002818	1	1	1	1	1	1	1
ADAM8	1	1	1	1	1	1	70.9424008840236	1	1	1	91.192523550465	1	1	1	1	62.5917798487244	1	1	1	1	53.5690585661384	1	1	1	1	1	1	1
ADAM9	1	1	1	1	1	1	102.909096743398	1	1	1	1	1	1	1	40.5383044799444	40.8892550185607	1	23.2832559983285	1	1	1	38.4339811636723	1	1	1	1	1	1
ADAMDEC1	1	1	1	1	1	1	76.3578297213721	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS1	1	1	541.247785793369	1	1	1	1	594.378610476638	416.411206608071	1	1	1	1	1	1	1	1	1	1	143.309626624873	1	61.7463093778809	1	1	1	305.83951305759	468.78131630561	88.8519487269665
ADAMTS12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	89.497917706131	1	109.31926185554	1	1	1	1	49.6095407395111	1
ADAMTS2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	73.1089787308382	1	160.342456509123	1	1	1	1	1	1
ADAMTS4	1	1	217.773000866058	1	1	1	1	1	102.888632521854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	194.15321780572	397.110928103353	1
ADAMTS6	1	1	1	1	1	1	1	158.192919243591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS9	1	1	87.3048779028418	1	1	1	1	251.909657933877	347.120474397592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	211.205790014316	72.5045665382886	148.385641197446
ADAMTSL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	86.0972883817075	1	1
ADAP2	1	1	89.1536614573897	1	1	1	337.536499333041	1	1	1	1	1	1	1	1	176.390307404954	1	1	1	1	60.0553760211737	1	1	1	1	1	97.3850504232842	1
ADCK3	1	1	1	1	1	1	1	1	1	1	1	28.8990336331998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.1071630047144
ADCY3	1	1	85.5597718057435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	70.6238634982362	1
ADCY4	1	1	1	1	1	1	1	238.24975070935	213.232618854044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	183.706725540944	1	264.353469223104
ADCY7	1	1	1	1	1	1	45.0146716608449	1	1	1	1	1	1	1	1	55.3010576816504	1	1	1	1	35.4036138185869	1	1	1	1	1	1	1
ADD3	1	1	1	1	113.64998207372	1	1	56.4796642750822	1	28.7167280233041	139.124674390833	1	1	1	37.8824225549945	1	87.0775134937151	1	41.9955734716915	200.93872742501	68.3552502137222	168.523396672116	88.9051508074619	93.3113224833502	45.0042095654678	138.593882063516	1	131.610166100042
ADGRA2	1	1	62.462598660071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	91.6205619709312	1	71.7204578417664	1	1	1	1	82.9600267202874	1
ADGRE2	1	1	1	1	1	1	53.8121603275384	1	1	1	1	1	1	1	1	102.970010843766	1	1	1	1	45.6261107292473	1	1	1	1	1	1	1
ADGRE5	1	1	1	1	189.489699439691	329.703952603098	98.4160550969582	1	1	1	333.5094127198	1	1	1	1	104.316065533657	129.975527135214	1	1	1	84.9394940570116	1	1	465.384602659891	1	1	72.0520203671326	1
ADGRF5	1	1	56.016901113695	1	1	1	1	548.15941248755	105.561308228208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	352.278487603059	195.958840422804	369.748338505869
ADGRG1	1	1	1	1	1	1	1	106.693048367646	73.9110516597228	29.4046024900681	214.385177948286	1	1	1	42.1840163090123	1	1	29.9182050377661	1	1	1	1	1	1	1	92.8338944389707	1	1
ADGRG3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	71.3700763913811	1	1	1	1
ADGRL2	1	1	1	1	1	1	1	1	61.565690315926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	79.2807424808147	1	1
ADGRL4	1	1	1	1	1	1	1	585.047344028191	529.082868620084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	611.438826412992	1	105.965106435943
ADH1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	264.771466339984	1	1	1	1	1	1	143.479563241719	1
ADIRF	116.01404519833	582.374905495361	3253.48737259699	1	1	1	1	326.82602569778	1111.15233385138	159.983513039718	1	184.068442519213	1	1463.45133947765	182.829068947511	1	1	412.991714253639	222.967471080499	307.283747961865	1	78.0538604658925	589.683136697049	1	75.5695304629232	301.057460853979	1278.3418268576	885.666855518266
ADK	70.594453565034	51.9955116908743	1	195.386637111922	1	1	1	1	1	91.8089592582841	1	57.1324108847593	1	53.7208102748366	67.8041302642065	1	109.286160216124	59.2299322834121	52.1800859081256	1	25.8737710414409	1	75.4294389958658	1	39.3905215916587	1	1	1
ADM	155.802123503531	1	1	1	1	1	101.331310804313	120.611682660008	86.9377344274757	1	1	1	1	1	1	1	1	50.8826578055421	1	151.962622389069	1	1	1	1	1	260.468323924942	1	42.9101795657397
ADM5	1	1	1	1	1	1	1	95.8102194416539	223.774362675748	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.5738584313313	1	1
ADNP	1	29.103492991565	1	1	1	1	1	1	1	1	1	25.0174778483512	1	43.4877667943871	1	1	1	1	35.494114064364	1	1	1	1	1	1	1	1	1
ADORA3	1	1	1	1	1	1	46.4263107474678	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADPGK	1	1	1	1	1	1	80.2235708316807	1	1	1	1	1	1	1	38.4199400468915	79.7219974523922	1	24.152423149242	1	1	62.1122835743456	48.4532628795551	1	1	1	27.3349698909626	1	1
ADPRHL2	1	1	1	1	1	1	1	1	1	61.5874623850082	1	40.3182624675858	1	1	53.6791020829378	1	1	29.8674737650373	32.8914857089634	1	1	1	1	1	1	1	1	1
ADRA2A	1	1	67.6256214257036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	84.5300321992563	1
ADRB2	108.403213891736	1	1	1	1	1	1	67.326946388043	86.8561597982879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADRBK1	1	1	1	1	1	1	66.3365323331961	1	1	1	1	1	1	1	1	86.6771407217859	1	1	1	1	1	1	1	1	1	1	1	72.6477231088008
ADSS	1	96.2173601812375	1	1	1	81.6643511727991	37.6383330443199	61.0740738949083	65.938379205466	99.0600557900559	117.769154866107	64.9359510194368	1	111.86555845201	89.2473439046137	55.3714658751145	1	105.080742587809	117.790818415712	1	54.8306853427146	34.7331941340364	81.6462546175869	69.9982141970988	61.9064188058139	38.0705043490612	1	133.527618482771
AEBP1	79.9793283725039	1	258.828956371965	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	620.894308314897	1	1425.74815781818	1	1	1	1	214.034787862258	51.950314231912
AEN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.4536548729149	1	1	1	1	1
AFAP1	1	1	1	1	1	1	1	1	48.7254012782943	1	1	1	1	1	1	1	1	1	1	1	1	51.067353280008	1	1	1	36.9036437161781	1	81.6154340324989
AFAP1L1	1	1	1	1	1	1	1	89.0685953692282	46.9253102415437	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	152.462403981734	1	176.677142861069
AFF1	1	1	1	1	1	1	48.940925753238	1	56.7415453770159	1	1	1	1	1	1	1	1	1	1	1	1	1	30.7365307262812	1	1	42.355832891152	1	1
AFF3	1	1	1	174.755160912239	1	1	1	1	1	1	1	37.4787753457152	1	73.3182995237643	1	1	1	1	1	1	63.2241915331009	1	191.88416734666	1	1	1	1	1
AFMID	1	40.0574765489904	1	1	1	1	1	1	1	46.527690093466	1	55.1373809507149	1	53.6311563434118	60.0271610943635	1	1	41.9195218298597	70.8872642852283	1	1	1	44.4744033630757	1	33.3206500802379	1	1	1
AFTPH	1	35.9768508352483	1	1	1	1	1	1	1	1	1	30.4590379096583	1	49.6224002426203	1	1	61.3250796669364	30.4031421498566	44.900353487121	1	43.6318895516198	1	50.7016100502289	1	1	1	1	1
AGA	1	1	1	1	1	1	1	1	1	1	1	1	1	30.4390982517097	1	1	1	28.146839893668	1	1	1	1	29.1605711863747	1	1	1	1	1
AGAP2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.207950114232	1	1	1	39.5021806033852	1	1
