NAME	T cells CD8+	CAFs myCAF-like	Macrophage	T cells CD4+	Mature Luminal	GenMod6	GenMod3	CAFs MSC iCAF-like	PVL Differentiated	Endothelial ACKR1	GenMod4	Plasmablasts	NKT cells	GenMod7	GenMod5	PVL Immature	NK cells	GenMod1	Monocyte	B cells Naive	Endothelial CXCL12	GenMod2	Endothelial RGS5	Myoepithelial	B cells Memory	DCs	Luminal Progenitors	Endothelial Lymphatic LYVE1
LARP6	1	1	1	1	1	1	38.7662707773029	55.8154635055651	1	1	34.3815972064174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LARS	1	46.4062630265123	46.1281602865565	1	68.6960236501513	65.6412950895984	51.9657536315377	48.0213226714641	1	54.3600590385493	66.6087138029354	1	1	63.3257027402564	67.2213807557948	64.2500419407446	1	61.608633961782	45.7988156499932	114.49859103136	41.4399290874827	60.9957168713293	63.6018283919673	1	1	64.8538835526733	71.4588214173979	1
LAS1L	1	1	1	1	1	32.2110998398461	1	1	1	1	40.0958898963801	1	1	1	1	1	1	1	1	1	1	24.3042527402905	1	1	1	1	1	1
LAT	258.282161567963	1	1	273.40943964652	1	1	1	1	1	1	1	1	221.543278607868	1	1	1	130.007216161139	1	1	1	1	1	1	1	1	1	1	1
LAT2	1	1	110.146941591304	1	1	1	1	1	1	1	1	1	115.771419981311	1	1	1	173.749555297963	1	128.535208668692	180.466543722471	1	1	1	1	157.769206220598	53.7736281386983	1	1
LATS2	1	1	1	1	1	1	1	1	1	36.9395447643487	1	1	1	1	1	1	1	1	1	1	1	1	39.3202586880501	1	1	1	1	1
LAX1	1	1	1	1	1	1	1	1	1	1	1	48.8315385495284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LAYN	1	1	1	1	1	1	1	1	1	49.4317201472159	1	1	1	1	1	1	1	1	1	1	1	1	74.6917784724825	91.1961236581091	1	1	1	294.607165123512
LBH	266.006628048419	83.8222823254181	1	291.024671286254	1	1	1	117.393414486111	577.441730594259	60.7213704977778	1	1	240.797987459917	1	1	200.983955273858	210.655177036601	1	1	325.406081458758	70.6642346231795	1	187.412801738139	450.389366472379	304.720891779071	1	44.2043286982381	145.281270855159
LBR	1	1	1	1	1	1	1	1	1	55.6534021931224	55.0609804043103	1	1	1	1	1	1	1	44.2047490642261	1	63.7723519285876	1	50.7542391920539	1	1	1	1	128.953612164714
LCK	409.529001729275	1	1	341.09399812147	1	1	1	1	1	1	1	1	404.504603400167	1	1	1	291.720708937573	1	1	1	1	1	1	1	1	1	1	1
LCN2	1	1	1	1	1	1	62.2548036636787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	254.649777469227	1
LCP1	422.939849950315	1	260.704743023987	244.533182453202	1	1	1	1	1	1	1	1	509.925212459753	1	1	1	384.644308487502	1	426.518979424042	196.633357782773	1	1	1	1	170.773765248209	405.655968274701	1	1
LCP2	237.081873827958	1	222.853457074212	159.249524095742	1	1	1	1	1	1	1	1	119.410859931694	1	1	1	211.391620623579	1	268.17009827169	1	1	1	1	1	1	47.345171906162	1	1
LDB2	1	76.9925920054143	1	1	1	1	1	110.12421159474	1	236.158498898613	1	1	1	1	1	1	1	1	1	1	300.294408438153	1	253.779209732302	1	1	1	1	273.714054581166
LDHB	422.176116768853	276.438704492065	138.169653353907	679.979081212066	338.819413800914	1	813.189024606904	277.384957409907	459.093402754815	193.067236864129	1061.86353691722	110.305472168757	266.41664247626	97.994457912872	1	449.016894710943	272.692997555615	1	148.132907101162	131.488440129039	171.582821971258	680.056336869321	281.314967284526	252.164500274108	203.24040677466	305.378821609865	321.121416920608	179.955711634442
LDLR	1	1	1	1	198.548250011252	84.890405178074	61.5889353303365	1	1	76.6787175372055	74.8348494709442	1	1	121.955167056463	1	1	1	169.068326719612	1	1	116.654784534212	46.2318422712863	61.3730277207399	1	1	1	81.116931643089	26.8316537526389
LDLRAD4	282.75775871931	1	1	106.850292255135	58.0265702085845	39.0942663871745	1	1	1	1	1	1	1	66.7048606632112	170.216445504237	1	457.157126007252	64.7949250386456	1	1	1	35.9200050042399	1	1	1	255.995031056439	1	1
LDLRAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.1426255994815	1	1	1	1
LEF1	1	1	1	115.099395056639	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEMD1	1	1	1	1	1	1	106.562499792156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LENG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.0277736613589	1	1	1	1	1	1
LEO1	1	1	1	1	35.8258212526656	28.1645184005008	1	1	1	1	58.5624735368419	1	1	1	1	1	1	1	1	1	1	35.5915205580669	1	1	1	1	1	1
LEPR	1	1	1	1	1	1	1	132.687477962579	1	1	1	1	1	1	1	1	1	1	1	1	138.640352736148	1	1	1	1	1	1	1
LEPROTL1	458.111193060141	59.2684100061006	104.252559361337	531.677888699802	62.7796921573672	80.4889243304553	79.4247205041788	1	1	62.6234133917778	41.2914799550877	1	180.233855593139	50.6567186208287	86.5391705651457	54.975277253544	291.347218585745	69.9665042647289	90.5761243826931	1	165.958977183567	45.3379436168946	122.107064142043	1	1	124.684231585224	29.8133354773491	53.1097453528137
LETM1	1	1	1	1	26.0810179214191	1	1	1	1	1	27.9680591947167	1	1	44.3674562662278	48.5536840238005	1	1	1	1	1	1	34.3928628901977	1	1	1	1	1	1
LETMD1	1	1	1	1	51.5930295999469	30.0194256064758	37.9889854794083	90.7250783774694	1	1	31.2271116548651	1	1	1	52.9642198240686	41.5226534649259	1	32.615313234381	1	1	1	39.027954152763	61.9473372440526	54.6974835067428	1	1	89.0860302105063	1
LGALS12	1	1	1	1	1	1	1	1	1	1	42.5451106215235	1	1	1	1	1	1	1	1	1	1	44.0859702340634	1	1	1	1	1	1
LGALS2	1	1	76.7410404852068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	269.189188881229	1	1	1	1	1	1	368.984409408122	1	1
LGALS3BP	1	708.603044981977	202.44095930612	1	119.498846461707	278.641827107572	174.879857002523	571.18012266037	332.933735175798	1	149.732031137621	1	1	163.074253714751	393.533167686608	652.742075653368	1	133.954287984868	49.9192408662331	1	205.714696177567	298.276915467182	104.452196111444	114.922088942098	1	1	115.983850717067	1
LGALS7B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	74.2346622619128	1	1	1	1
LGALS9	1	75.9085957731247	181.259357220554	1	1	1	1	1	1	118.295067616514	1	1	1	1	1	1	1	1	150.477650655727	1	59.7158278426158	1	104.33098626964	1	1	203.595921067479	1	1
LGALSL	1	1	1	1	1	1	1	1	68.5580592106933	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	125.991993808316
LGI4	1	1	1	1	1	1	1	1	153.731220522891	1	1	1	1	1	1	135.620208714576	1	1	1	1	1	1	1	1	1	1	1	1
LGMN	1	178.455287569288	677.520362989544	1	62.1281498743199	36.2895468009922	63.7599122829958	133.329646103769	79.2148699885693	83.4984050431955	40.3551960316042	1	1	57.4836153784945	1	129.80900495654	1	1	88.0839167800244	1	78.7019843538368	40.6475367854292	72.6501500262307	78.6033591904601	1	88.2893793295597	52.8454457796617	27.7964608792866
LHFP	1	260.722129093522	1	1	1	1	1	552.882046981783	723.827836147143	154.973958407925	1	1	1	1	1	1180.49446271608	1	1	1	1	128.128704208139	1	254.972515392956	93.3819144250615	1	1	1	120.400548053853
LHFPL2	1	67.8398868450124	99.4556236623422	1	1	1	1	68.9817486634414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LHPP	1	1	1	1	45.0486551749325	41.9099901559421	31.5195996338694	1	1	1	46.2747326965386	1	1	1	1	1	1	1	1	211.723043019043	1	29.5968327031832	1	1	1	1	32.3064913036938	1
LHX6	1	1	1	1	1	1	1	1	1	89.8048618423194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LIF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	59.6255430285118	1
LIFR	1	1	1	1	1	1	1	1	1	230.330743673097	1	1	1	1	1	1	1	1	1	1	96.1710567638171	1	156.669141976365	1	1	1	1	1
LIG1	1	1	1	1	1	1	1	1	1	1	30.6716481364292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LILRA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81.1332138238778	1	1	1	1	1	1	1	1	1
LILRA4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	393.428453997214	1	1
LILRA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	90.6580630333554	1	1	1	1	1	1	1	1	1
LILRB1	1	1	92.1849493650948	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	134.69843666394	1	1	1	1	1	1	72.72455724526	1	1
LILRB2	1	1	141.575401544014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	255.07693167186	1	1	1	1	1	1	1	1	1
